full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
feiskyer/claude-code-settings,1415,1415,210,4,4,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9521,9521,1255,34,34,5,https://github.com/siteboon/claudecodeui
alirezarezvani/claude-skills,9663,9663,1185,175,175,16,https://github.com/alirezarezvani/claude-skills
AICoderTudou/claude-code-tudou,414,414,349,13,13,12,https://github.com/AICoderTudou/claude-code-tudou
sugyan/claude-code-webui,998,998,232,1,1,0,https://github.com/sugyan/claude-code-webui
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2993,2993,565,28,28,3,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
rohitg00/awesome-claude-code-toolkit,1104,1104,302,20,20,7,https://github.com/rohitg00/awesome-claude-code-toolkit
JrCx7scC/claude-code-source,262,262,397,0,0,0,https://github.com/JrCx7scC/claude-code-source
Hyper66666/claude-code-sourcemap,198,198,449,1,1,1,https://github.com/Hyper66666/claude-code-sourcemap
darcyegb/ClaudeCodeAgents,647,647,58,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
centminmod/my-claude-code-setup,2161,2161,216,4,4,0,https://github.com/centminmod/my-claude-code-setup
luongnv89/claude-howto,20825,20825,2480,857,857,99,https://github.com/luongnv89/claude-howto
lst97/claude-code-sub-agents,1519,1519,240,2,2,-1,https://github.com/lst97/claude-code-sub-agents
