full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
ghuntley/claude-code-source-code-deobfuscation,864,864,422,1,1,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nishimoto265/Claude-Code-Communication,495,495,237,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
bfly123/claude_code_bridge,1694,1694,153,52,52,5,https://github.com/bfly123/claude_code_bridge
darcyegb/ClaudeCodeAgents,608,608,53,8,8,0,https://github.com/darcyegb/ClaudeCodeAgents
slopus/happy,15753,15753,1239,255,255,22,https://github.com/slopus/happy
anthropics/claude-plugins-official,12828,12828,1253,364,364,60,https://github.com/anthropics/claude-plugins-official
andrepimenta/claude-code-chat,1003,1003,155,-2,-2,0,https://github.com/andrepimenta/claude-code-chat
rizethereum/claude-code-requirements-builder,1759,1759,173,1,1,0,https://github.com/rizethereum/claude-code-requirements-builder
Njengah/claude-code-cheat-sheet,1451,1451,183,8,8,0,https://github.com/Njengah/claude-code-cheat-sheet
trailofbits/claude-code-config,1627,1627,125,13,13,3,https://github.com/trailofbits/claude-code-config
farion1231/cc-switch,30517,30517,1839,1156,1156,66,https://github.com/farion1231/cc-switch
steipete/claude-code-mcp,1181,1181,144,7,7,0,https://github.com/steipete/claude-code-mcp
catlog22/Claude-Code-Workflow,1500,1500,123,14,14,0,https://github.com/catlog22/Claude-Code-Workflow
disler/claude-code-hooks-multi-agent-observability,1280,1280,356,6,6,2,https://github.com/disler/claude-code-hooks-multi-agent-observability
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2154,2154,356,89,89,22,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
jeremylongshore/claude-code-plugins-plus-skills,1655,1655,207,16,16,6,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
0xfurai/claude-code-subagents,783,783,144,7,7,1,https://github.com/0xfurai/claude-code-subagents
simonw/claude-code-transcripts,1145,1145,131,8,8,3,https://github.com/simonw/claude-code-transcripts
JessyTsui/Claude-Code-Remote,1171,1171,125,5,5,1,https://github.com/JessyTsui/Claude-Code-Remote
wanshuiyin/Auto-claude-code-research-in-sleep,2591,2591,224,645,645,65,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
Alishahryar1/free-claude-code,1042,1042,127,43,43,7,https://github.com/Alishahryar1/free-claude-code
winfunc/opcode,21013,21013,1618,41,41,-2,https://github.com/winfunc/opcode
jarrodwatts/claude-code-config,981,981,125,5,5,3,https://github.com/jarrodwatts/claude-code-config
cixingguangming55555/wechat-bot,2533,2533,664,0,0,1,https://github.com/cixingguangming55555/wechat-bot
peterkrueck/Claude-Code-Development-Kit,1328,1328,153,1,1,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
github/spec-kit,78622,78622,6673,835,835,74,https://github.com/github/spec-kit
alirezarezvani/claude-skills,5971,5971,696,454,454,57,https://github.com/alirezarezvani/claude-skills
pchalasani/claude-code-tools,1595,1595,100,9,9,0,https://github.com/pchalasani/claude-code-tools
alirezarezvani/claude-code-tresor,630,630,142,6,6,1,https://github.com/alirezarezvani/claude-code-tresor
d-kimuson/claude-code-viewer,984,984,115,10,10,3,https://github.com/d-kimuson/claude-code-viewer
revfactory/claude-code-mastering,762,762,124,1,1,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,1044,1044,111,2,2,1,https://github.com/wasabeef/claude-code-cookbook
rohitg00/awesome-claude-code-toolkit,857,857,161,24,24,12,https://github.com/rohitg00/awesome-claude-code-toolkit
ComposioHQ/awesome-claude-skills,46124,46124,4688,1024,1024,118,https://github.com/ComposioHQ/awesome-claude-skills
anthropics/claude-agent-sdk-demos,1761,1761,272,26,26,5,https://github.com/anthropics/claude-agent-sdk-demos
Yeachan-Heo/oh-my-claudecode,10472,10472,731,323,323,19,https://github.com/Yeachan-Heo/oh-my-claudecode
code-yeongyu/oh-my-openagent,41580,41580,3107,784,784,41,https://github.com/code-yeongyu/oh-my-openagent
OthmanAdi/planning-with-files,16556,16556,1514,251,251,21,https://github.com/OthmanAdi/planning-with-files
ericbuess/claude-code-docs,744,744,104,7,7,-1,https://github.com/ericbuess/claude-code-docs
severity1/claude-code-prompt-improver,1295,1295,111,13,13,2,https://github.com/severity1/claude-code-prompt-improver
numman-ali/openskills,9109,9109,584,49,49,5,https://github.com/numman-ali/openskills
anomalyco/opencode,125529,125529,13226,1544,1544,266,https://github.com/anomalyco/opencode
daymade/claude-code-skills,689,689,106,24,24,5,https://github.com/daymade/claude-code-skills
MadAppGang/claude-code,248,248,25,3,3,0,https://github.com/MadAppGang/claude-code
lyconear/Claude-Code,4,4,149,0,0,2,https://github.com/lyconear/Claude-Code
ccplugins/awesome-claude-code-plugins,636,636,140,7,7,4,https://github.com/ccplugins/awesome-claude-code-plugins
anthropics/claude-agent-sdk-python,5594,5594,748,77,77,13,https://github.com/anthropics/claude-agent-sdk-python
greggh/claude-code.nvim,1934,1934,62,6,6,0,https://github.com/greggh/claude-code.nvim
opactorai/Claudable,3819,3819,570,0,0,0,https://github.com/opactorai/Claudable
disler/pi-vs-claude-code,504,504,147,15,15,3,https://github.com/disler/pi-vs-claude-code
PleasePrompto/notebooklm-skill,4714,4714,487,89,89,19,https://github.com/PleasePrompto/notebooklm-skill
timothywarner-org/claude-code,201,201,28,0,0,0,https://github.com/timothywarner-org/claude-code
